('11000011101011100001100001111111010100110011110001101111011101100010000110010101011101101000010111111001011001110101001001000011', ['male','John', 'Smith'])
('11000010111010000011110011000100110101011001100000001110111101001111000110010101011111111001011000101111011001110111001000001011', ['male','David', 'Johnson'])
('11100110110011101101110000000001010001110010100000101110101101001101010110010101000111110100011100000111001101110111001000011011', ['male','Michael', 'Brown'])
('11011000101010010101100110101101110110111110010001011000010100011110000110100101111101010000011001001000011111111010000001101011', ['male','James', 'Davis'])
('11000101110010001101011111000100100001111111101000001111000101000111001010110100010000011000111001000101010011111011011000101001', ['female','Emily', 'Wilson'])
('11001010100111001001111011100110110011111111100010011110110101000111010110010000011010010000111101111101010011111010011100011011', ['male','Robert', 'Miller'])
('11101010101000001111110010100101000100010000100001011101011001001101000010110100011010110000010100000001011001111101001001111101', ['male','William', 'Moore'])
('10010110100110101001111000101101000001111110100000011000011001000111000011010100111101111000111001001101010011011010001101010001', ['male','Richard', 'Taylor'])
('11000011110111010001100000010111010011110001011001111011111101001110000110100001011111010010100101101011011100100001011001000110', ['male','Thomas', 'Anderson'])
('10011110111001001000111010100111110010011110101001011101100010000101010010011000101101110100111000000000011110111100001000111001', ['female','Jessica', 'Thomas'])
('11000110100111001101110010000111000101100110110010001010110001000111000111010001111011110000111011101100010111011011001100000001', ['male','Charles', 'Martinez'])
('11000110100010001101110110101111010101001111100001001110110111100111000110110101000111001000001000001011010011111010001000001011', ['male','Daniel', 'Robinson'])
('11000111111010101001010010101111110101101101101001101101111101000110000110010101110101011000111101001101001001110011001001001011', ['male','Matthew', 'Clark'])
('10010010111011000001010100010111010110000011110001111011110101000110000110100100011111110010010111001000101111100001011000101101', ['male','Anthony', 'Lewis'])
('11001011111101000001111001000111110110101011010010111110010101001100010110011100010001011101011011101111010110101110011001101111', ['male','Mark', 'Lee'])
('11101001101000000100001110100011010110111011010011011100010101001010001010101000100001010000011001001100111110111000000101001011', ['male','Andrew', 'Walker'])
('01101000001010000100000000101111110000100110110011001000011101101100100010101000011001010001011001001100111110110010001001001011', ['male','Joseph', 'Hall'])
('11011100101010000101110000000001010101101011000001011000111101101010001110100100000101010010010111001100011101011000011001001011', ['male','Brian', 'Allen'])
('11011010110101011001001001100101010000111010001000011101011101110010100111110100010101010010011100000001010010110001001100111001', ['male','Kevin', 'Young'])
('11011010010001100010110011010011000101000000000001101111101001000100010010010001001001010000011100000111010101011110001100001011', ['male','Steven', 'Hernandez'])
('11101000100110001101100111101110000000111100111011001101100101000011001011011100111111011000111001010000010111111001000001001011', ['female','Laura', 'King'])
('11000110100010110101100100101111010100100100010101101110001101000101000010010101010111101010101101000011001111000100001100001111', ['male','Joshua', 'Wright'])
('10110111100010101000010011101111000001101010111010101001011001101111101110010101001101011100110101110011111011011001001000111011', ['male','George', 'Lopez'])
('11000011100111101001110010100110000000011110101001101111001000000111000010010001101001111000111100010000010110011010001000111011', ['male','Christopher', 'Scott'])
('11011011100100000001101011010111010101101010001000001111111101001100000111110000001111010100010101001111010111100111011100101001', ['male','Paul', 'Adams'])
('10110110100000001100111110101110100000111100101010011111110101001111001011111100101100111010111001010010010011110101011000111001', ['female','Sarah', 'Baker'])
('11111110101010000101101010000101010110110010011011101101010001001100111111010100011100010000010111001000001111110010001001001011', ['male','Edward', 'Nelson'])
('10001010100011000001111101100101110100111011110000011101011111011100010110010000010101110000011101000001000110100100001100011001', ['male','Daniel', 'Carter'])
('10000111110010100001010010110111000001111101101001100110010101101110110110110001011101011000101001100011111001111011001000101011', ['male','Brian', 'Mitchell'])
('11111001101010111101101111111100010110100110011011111001001100011001101011111101101110010000011011000100101111111001000001001011', ['female','Megan', 'Perez'])
